mgi_symbol uniprotswissprot
HTATIP2 Q9Z2G9
LDB1 P70662
RBFOX2 Q8BP71
ATF6 F6VAN0
SKIL Q60665
TAF1 Q80UV9
GATAD2B Q8VHR5
JUND P15066
NFKB2 Q9WTK5
MAFF O54791
ASH2L Q91X20
TOX4 Q8BU11
SALL2 Q9QX96
ZFP462 B1AWL2
TNF P06804
BARD1 O70445
XAB2 Q9DCD2
IRF9 Q61179
DDX54 Q8K4L0
EHMT2 Q9Z148
RORA P51448
GTF2A2 Q80ZM7
EPAS1 P97481
DTX1 Q61010
MED16 Q6PGF3
ZFP281 Q99LI5
PATZ1 Q5NBY9
NR5A2 P45448
EYA2 O08575
MTA2 Q9R190
UBE2K P61087
NFATC4 Q8K120
RORC P51450
JDP2 P97875
POU6F1 Q07916
SOX17 Q61473
ESPL1 P60330
RFXAP Q8VCG9
SP1 O89090
POLR3D Q91WD1
IRF8 P23611
TCEA1 P10711
ZBTB7A O88939
BACH1 P97302
MEF2D Q63943
PCBP2 Q61990
ZFPM1 O35615
TARBP2 P97473
HCLS1 P49710
PITX1 P70314
ATF7 Q8R0S1
TCF12 Q61286
CBFA2T3 O54972
XRCC5 P27641
SFPQ Q8VIJ6
FHL2 O70433
CITED4 Q9WUL8
CTNNB1 Q02248
GTF2E1 Q9D0D5
NR2C1 Q505F1
BRWD1 Q921C3
PAX6 P63015
CUX2 P70298
DDX20 Q9JJY4
MSX2 Q03358
HMGA1 P17095
SAP30 O88574
HMGB2 P30681
HOXA9 P09631
HAX1 O35387
ZBTB43 Q9DAI4
KLF2 Q60843
POLR2E Q80UW8
NFATC2 Q60591
FOSL2 P47930
TEAD3 P70210
ZFX P17012
IFI204 P0DOV2
NAP1L4 Q78ZA7
EGR2 P08152
PHF2 Q9WTU0
SALL4 Q8BX22
CNOT2 Q8C5L3
MLXIPL Q99MZ3
NACC1 Q7TSZ8
ZBTB24 Q80X44
USF1 Q61069
SSRP1 Q08943
HSPB1 P14602
SRSF1 Q6PDM2
VHL P40338
CSF1 P07141
ILF3 Q9Z1X4
TAF1A P97357
TFAP2C Q61312
UTF1 Q6J1H4
EWSR1 Q61545
COIL Q5SU73
TRIM25 Q61510
RFX5 Q9JL61
JUN P05627
CNOT7 Q60809
TRIM28 Q62318
HMG20B Q9Z104
CRABP2 P22935
HDGF P51859
NFIC P70255
MEIS3 P97368
RBBP4 Q60972
RNF2 Q9CQJ4
NOTCH4 P31695
POLR3B P59470
TSG101 Q61187
HSBP1 Q9CQZ1
ELK4 P41158
ELF2 Q9JHC9
MYD88 P22366
BRPF1 B2RRD7
NFKBIB Q60778
TADA3 Q8R0L9
SIRT2 Q8VDQ8
CCND1 P25322
SUMO2 P61957
SMARCA5 Q91ZW3
NOTCH1 Q01705
BTG2 Q04211
IRF6 P97431
MED31 Q9CXU1
GTF2H3 Q8VD76
BRD7 O88665
HIF3A Q0VBL6
AEBP2 Q9Z248
PHB2 O35129
SNAPC5 Q8R2K7
MYBBP1A Q7TPV4
CHD4 Q6PDQ2
ZFP219 Q6IQX8
PHC1 Q64028
ILF2 Q9CXY6
TAX1BP3 Q9DBG9
FXR1 Q61584
SMARCA4 Q3TKT4
GTF2I Q9ESZ8
KDM5A Q3UXZ9
FOXA2 P35583
MEIS1 Q60954
LHX2 Q9Z0S2
TLE1 Q62440
SERTAD2 Q9JJG5
RAD51 Q08297
SIRT3 Q8R104
KRBA1 Q6NXZ1
UBP1 Q811S7
MAPK3 Q63844
ZEB2 Q9R0G7
HEXIM1 Q8R409
NFYB P63139
NANOG Q80Z64
FOXJ2 Q9ES18
RIF1 Q6PR54
TRIP6 Q9Z1Y4
TEAD2 P48301
RUVBL2 Q9WTM5
TRP53 P02340
SOX15 P43267
PREB Q9WUQ2
SRSF9 Q9D0B0
POLR2A P08775
FIZ1 Q9WTJ4
MAPK14 P47811
EZH2 Q61188
GATA2 O09100
MAPK13 Q9Z1B7
KNTC1 Q8C3Y4
POU4F2 Q63934
IRF3 P70671
SRSF3 P84104
TARDBP Q921F2
REST Q8VIG1
POLR2B Q8CFI7
MAFK Q61827
PELP1 Q9DBD5
JUNB P09450
POLR2I P60898
NFYA P23708
KEAP1 Q9Z2X8
SNRPB P27048
CTBP1 O88712
TFCP2L1 Q3UNW5
ELF3 Q3UPW2
MAML1 Q6T264
EOMES O54839
CNOT6L Q8VEG6
RFX2 P48379
ETV3 Q8R4Z4
GTF2F1 Q3THK3
DNMT1 P13864
POU2F1 P25425
NDN P25233
RELB Q04863
NME2 Q01768
SNAI1 Q02085
TOB1 Q61471
CEBPA P53566
SIRT1 Q923E4
ASXL1 P59598
ATF5 O70191
BTG1 P62325
GATA3 P23772
PROX1 P48437
ILK O55222
TAF10 Q8K0H5
NRF1 Q9WU00
EBF4 Q8K4J2
IRF1 P15314
HNRNPAB Q99020
TIAL1 P70318
HOPX Q8R1H0
CENPB P27790
PER1 O35973
KDM2B Q6P1G2
ANKRD49 Q8VE42
KDM6B Q5NCY0
SRRT Q99MR6
GTF3C1 Q8K284
BMI1 P25916
RPA2 Q62193
PAX8 Q00288
ZFP36 P22893
ARID1A A2BH40
EDF1 Q9JMG1
POLR1E Q8K202
EPOR P14753
SMURF2 A2A5Z6
KPNA2 P52293
HDAC1 O09106
WDR5 P61965
IRF7 P70434
KHDRBS1 Q60749
DNAJC2 P54103
TBX3 P70324
STAT5B P42232
STAT5A P42230
STAT3 P42227
XBP1 O35426
SMARCE1 O54941
TRP53BP1 P70399
JUP Q02257
COPS2 P61202
SUMO1 P63166
SATB2 Q8VI24
TRIB3 Q8K4K2
SPO11 Q9WTK8
CTCFL A2APF3
EHMT1 Q5DW34
KDM5B Q80Y84
NUPR1 Q9WTK0
DR1 Q91WV0
SPI1 P17433
DDB2 Q99J79
PAX1 P09084
FUS P56959
AFF4 Q9ESC8
TGFB1I1 Q62219
NFE2L1 Q61985
KLF3 Q60980
HLF Q8BW74
CD7 P50283
HNRNPD Q60668
ZSCAN21 Q07231
MCM7 Q61881
TAF6 Q62311
CNOT8 Q9D8X5
HNF1B P27889
GRIN1 P35438
SOX18 P43680
POLR3K Q9CQZ7
POLR1B P70700
POLR3F Q921X6
FUBP3 A2AJ72
MAML3 D4QGC2
ARID1B E9Q4N7
DENND4A E9Q8V6
ZBTB10 E9Q8X5
BTAF1 E9QAE3
ZFP275 G3X904
ZFP446 G3X9U2
KLF6 O08584
POLR2J O08740
NCOA3 O09000
DAXX O35613
SUPT5H O55201
IKBKB O88351
BAZ1A O88379
NSD1 O88491
NFATC1 O88942
PARP1 P11103
REL P15307
HIST1H1C P15864
SFPI1 P17433
RDBP P19426
ZFP42 P22227
CBX3 P23198
XRCC6 P23475
UBTF P25976
TEAD1 P30051
AHR P30561
RFC1 P35601
